,Clave,Descripción,Existencia,Unidad
1712,JA296038,"Dado de Impacto 1/2"" para Honda E20",1.0,PIEZA
1713,JA298038,Dado Multi-Point Mercedes,1.0,PIEZA
1714,JA3000742,"Dado de Impacto 1/2"" 3 Puntos Nissan 8TS",0.0,PIEZA
1715,LLCM-10,Llave Combinada con Matraca 10mm,0.0,PIEZA
1716,LLCM-12,Llave Combinada con Matraca 12mm,0.0,PIEZA
1717,LLCM-13,Llave Combinada con Matraca 13mm,0.0,PIEZA
1718,MBC-34,"Maneral de Barra Corrediza 3/4""",0.0,PIEZA
1719,MFG-L/XL,Magnetic Finger/Dedal Magnético L/XL,37.0,PIEZA
1720,ML-12,"Maneral en L de 1/2""",0.0,PIEZA
1721,NITRO-OBD2,Nitro OBD2 Chip de Potencia Tuning BC,21.0,PIEZA
1722,OPRTA-02,Opresor de Resortes de Transmisión Aut.,0.0,PIEZA
1723,PDR-78,Reparador de Abolladuras sin Pintar 78pz,0.0,JGO
1724,PDR-78-LED,Reparador de Abolladuras sin Pintar 78pz,1.0,JGO
1725,PDR-88,Reparador de Abolladuras sin Pintar 88pz,0.0,JGO
1726,PDR-97,Reparador de Abolladuras sin Pintar 97pz,1.0,JGO
1727,PSS-C,Trabador para Seat 1.4 y 1.2L,1.0,PIEZA
1728,PWC-PN,Pinzas para PowerCar,11.0,PIEZA
1729,R134A,Refrigerante R134A,0.0,PIEZA
1730,TAQ92,Taquetes de Expansión 92pzas,0.0,JGO
1731,TT-02,Carro Portallantas Tire Trolley,3.0,PIEZA
1732,VID-2M2,Videoscopio USB 2m,0.0,JGO
1735,AB-BTI-CSS-PE,Brocal p/Pozo de Visita Intermedio CSS,0.0,PIEZA
1736,AB-BTL-ASS-PE,Brocal p/Pozo de Visita Ligero ASS,0.0,PIEZA
1737,AB-BTL-CSS-PE,Brocal p/Pozo de Visita Ligero CSS,1.0,PIEZA
1738,AB-BTP-ASS-PE,Brocal p/Pozo de Visita Pesado ASS,0.0,PIEZA
1739,AB-BTP-CSS-PE,Brocal p/Pozo de Visita Pesado CSS,2.0,PIEZA
1740,AB-BTRSR-PE,Brocal y Tapa p/Registro Sanitario,5.0,PIEZA
1741,AB-CPB-PE,Coladera Pluvial Para Banqueta,0.0,PIEZA
1742,AB-MR4060-PE,Marco y Rejilla 40x60,4.0,PIEZA
1743,AB-MR5050-PE,Marco y Rejilla 50x50,0.0,PIEZA
1744,AB-MR6070-PE,Marco y Rejilla de 60x70,1.0,PIEZA
1745,AB-MT4060-PE,Marco y Tapa Ciego 40x60,4.0,PIEZA
1746,AB-MTCV5050-PE,Marco y Tapa p/Caja de Válvulas 50x50,2.0,PIEZA
1749,96067,Cubrebocas de 3 Capas,1000.0,PIEZA
1750,BRT-AC,Banderín Rectangular Azul Cielo,851.0,PIEZA
1751,BRT-AM,Banderín Rectangular Amarillo,487.0,PIEZA
1752,BRT-AZ,Banderín Rectangular Azul,700.0,PIEZA
1753,BRT-BL,Banderín Rectangular Blanco,775.0,PIEZA
1754,BRT-CA,Banderín Rectangular Café,308.0,PIEZA
1755,BRT-GR,Banderín Rectangular Gris,407.0,PIEZA
1756,BRT-MO,Banderín Rectangular Morado,901.0,PIEZA
1757,BRT-NA,Banderín Rectangular Naranja,180.0,PIEZA
1758,BRT-NE,Banderín Rectangular Negro,221.0,PIEZA
1759,BRT-RO,Banderín Rectangular Rojo,564.0,PIEZA
1760,BRT-RS,Banderín Rectangular Rosa,322.0,PIEZA
1761,BRT-VE,Banderín Rectangular Verde,619.0,PIEZA
1762,BRT-VL,Banderín Rectangular Verde Limón,834.0,PIEZA
1763,BTP-02,Banderín tipo Paleta,0.0,PIEZA
1764,BTP-AC,Banderín Tipo Paleta Azul Cielo,397.0,PIEZA
1765,BTP-AM,Banderín Tipo Paleta Amarilla,690.0,PIEZA
1766,BTP-AZ,Banderín Tipo Paleta Azul,315.0,PIEZA
1767,BTP-BL,Banderín Tipo Paleta Blanco,651.0,PIEZA
1768,BTP-CA,Banderín Tipo Paleta Café,135.0,PIEZA
1769,BTP-GR,Banderín Tipo Paleta Gris,339.0,PIEZA
1770,BTP-MO,Banderín Tipo Paleta Morada,265.0,PIEZA
1771,BTP-NA,Banderín Tipo Paleta Naranja,142.0,PIEZA
1772,BTP-NE,Banderín Tipo Paleta Negra,502.0,PIEZA
1773,BTP-RO,Banderín Tipo Paleta Roja,692.0,PIEZA
1774,BTP-RS,Banderín Tipo Paleta Rosa,117.0,PIEZA
1775,BTP-VE,Banderín Tipo Paleta Verde,992.0,PIEZA
1776,BTP-VL,Banderín Tipo Paleta Verde Limón,361.0,PIEZA
1777,CARETA-CV19,Careta Protectora,5.0,PIEZA
1778,CARFAC-SOP,Careta Facial con Soporte Plástico,6.0,PIEZA
1779,CTH-01,Magnetic Car Top Hat,0.0,PIEZA
1780,CTHT-02,Magnetic Car Top Hat Tringular,0.0,PIEZA
1781,DIF-01,"Disco de AirHockey Familiar 2-3/4""",294.0,PIEZA
1782,DIM-01,"Disco de AirHockey Mini 2-1/2""",238.0,PIEZA
1783,DIP-01,Disco de AirHockey Profesional,231.0,PIEZA
1784,DIP-05,Disco de AirHockey Profesional 5pzas,0.0,PIEZA
1785,DTPAM-01,Disco Translúcido Profesional Amarillo,8.0,PIEZA
1786,DTPNA-01,Disco Translúcido Profesional Naranja,0.0,PIEZA
1787,EW0114AM,Mingitorio Entrenador Wipipi Amarillo,221.0,PIEZA
1788,EW0114AZ,Mingitorio Entrenador Wipipi Azul,543.0,PIEZA
1789,EW0114BL,Mingitorio Entrenador Wipipi Blanco,191.0,PIEZA
1790,EW0114NA,Mingitorio Entrenador Wipipi Naranja,399.0,PIEZA
1791,EW0114RO,Mingitorio Entrenador Wipipi Rojo,616.0,PIEZA
1792,EW0114VE,Mingitorio Entrenador Wipipi Verde,200.0,PIEZA
1793,FIM-AC,Ficha Magnética p/Magnetoplan Azul Cielo,0.0,PIEZA
1794,FIM-AM,Ficha Magnética p/Magnetoplan Amarilla,25.0,PIEZA
1795,FIM-AZ,Ficha Magnética p/Magnetoplan Azul,25.0,PIEZA
1796,FIM-BL,Ficha Magnética p/Magnetoplan Blanca,50.0,PIEZA
1797,FIM-CA,Ficha Magnética p/Magnetoplan Café,50.0,PIEZA
1798,FIM-GR,Ficha Magnética p/Magnetoplan Gris,50.0,PIEZA
1799,FIM-MO,Ficha Magnética p/Magnetoplan Morada,50.0,PIEZA
1800,FIM-NA,Ficha Magnética p/Magnetoplan Naranja,50.0,PIEZA
1801,FIM-NE,Ficha Magnética p/Magnetoplan Negro,25.0,PIEZA
1802,FIM-RO,Ficha Magnética p/Magnetoplan Roja,25.0,PIEZA
1803,FIM-VE,Ficha Magnética p/Magnetoplan Verde,25.0,PIEZA
1804,FIM-VL,Ficha Magnética p/Magnetoplan Verde Limo,50.0,PIEZA
1805,GEL-5L,Gel Antibacterial 5L,0.0,PIEZA
1806,LLAVC-AM,"Llave para Tablero de Control, Amarillo",3206.0,PIEZA
1807,LLAVC-AZ,"Llave para Tablero de Control, Azul",1760.0,PIEZA
1808,LLAVC-BL,"Llave para Tablero de Control, Blanco",335.0,PIEZA
1809,LLAVC-CA,"Llave para Tablero de Control, Cafe",55.0,PIEZA
1810,LLAVC-GR,"Llave para Tablero de Control, Gris",1506.0,PIEZA
1811,LLAVC-MO,"Llave para Tablero de Control, Morado",300.0,PIEZA
1812,LLAVC-NA,"Llave para Tablero de Control, Naranja",263.0,PIEZA
1813,LLAVC-NE,"Llave para Tablero de Control, Negro",218.0,PIEZA
1814,LLAVC-RO,"Llave para Tablero de Control, Rojo",1333.0,PIEZA
1815,LLAVC-RS,"Llave para Tablero de Control, Rosa",254.0,PIEZA
1816,LLAVC-VE,"Llave para Tablero de Control, Verde",292.0,PIEZA
1817,LLAVC-VL,"Llave para Tablero de Control, Verde Lim",131.0,PIEZA
1818,MAN-AZ,Manopla para Air Hockey Azul,146.0,PIEZA
1819,MAN-RO,Manopla para Air Hockey Roja,272.0,PIEZA
1820,MANT-AM,Manopla Translucida p/Air Hockey Amarill,2.0,PIEZA
1821,MANT-AZ02,Par Manoplas Translucida Air Hockey Azul,0.0,PAR
1822,MANT-NA,Manopla Translucida p/Air Hockey Naranja,0.0,PIEZA
1823,MNDP-04R,Juego de Manoplas Roja y 2 Discos Prof.,0.0,JGO
1824,MTAZ-DIP-04,Manoplas Azul Tran y 2 Discos Profesiona,0.0,JGO
1825,MTAZ-DTPNA-04,Manoplas Az y Discos Profesional Na Tran,0.0,JGO
1826,MTNA-DTPAM-04,Manoplas Na y Discos Profesional Am Tran,0.0,JGO
1827,NB525,Gel Antibacterial Neutro 525ml Blumen,0.0,PIEZA
1828,PEF-01,Pelota para Futbolito,226.0,PIEZA
1829,PEF-A,Pelota para Futbolito Amarillo Eléctrico,5366.0,PIEZA
1830,PEF-N,Pelota para Futbolito Naranja,4233.0,PIEZA
1831,TORR-01,Torres de Señalización,0.0,PIEZA
1832,TORR-AC,Torre de Señalizacion Azul Cielo,193.0,PIEZA
1833,TORR-AM,Torre de Señalización Amarilla,473.0,PIEZA
1834,TORR-AZ,Torre de Señalización Azul,561.0,PIEZA
1835,TORR-BL,Torre de Señalización Blanca,5.0,PIEZA
1836,TORR-CA,Torre de Señalización Café,231.0,PIEZA
1837,TORR-GR,Torre de Señalización Gris,227.0,PIEZA
1838,TORR-MO,Torre de Señalización Morada,292.0,PIEZA
1839,TORR-NA,Torre de Señalización Naranja,577.0,PIEZA
1840,TORR-NE,Torre de Señalización Negra,286.0,PIEZA
1841,TORR-RO,Torre de Señalización Roja,428.0,PIEZA
1842,TORR-RS,Torre de Señalización Rosa,97.0,PIEZA
1843,TORR-VE,Torre de Señalización Verde,599.0,PIEZA
1844,TORR-VL,Torre de Señalizacion Verde Limón,23.0,PIEZA
1845,TOTS-02,Torre Triangular de Señalización,0.0,PIEZA
1846,TOTS-AC,Torre Triangular Azul Cielo,253.0,PIEZA
1847,TOTS-AM,Torre Triangular Amarilla,278.0,PIEZA
1848,TOTS-AZ,Torre Triangular Azul,135.0,PIEZA
1849,TOTS-BL,Torre Triangular Blanco,201.0,PIEZA
1850,TOTS-CA,Torre Triangular Cafe,199.0,PIEZA
1851,TOTS-GR,Torre Triangular Gris,222.0,PIEZA
1852,TOTS-MO,Torre Triangular Morado,222.0,PIEZA
1853,TOTS-NA,Torre Triangular Naranja,173.0,PIEZA
1854,TOTS-NE,Torre Triangular Negro,647.0,PIEZA
1855,TOTS-RO,Torre Triangular Rojo,263.0,PIEZA
1856,TOTS-RS,Torre Triangular Rosa,172.0,PIEZA
1857,TOTS-VE,Torre Triangular Verde,270.0,PIEZA
1858,TOTS-VL,Torre Triangular Verde Limón,330.0,PIEZA
1861,1040,Probador de Anticongelante,0.0,PIEZA
1862,1114,Llaves p/Remover Filtros de Aceite 65mm,0.0,PIEZA
1863,1326,Llave para Bomba de Agua VW/Audi,1.0,PIEZA
1864,1335,Medidor de Espesor de Balatas,0.0,JGO
1865,1341,Juego de 4 Ahorcadores para Manguera,1.0,JGO
1866,1366,"Dado Pentagonal p/Frenos1/2""x19mm",1.0,PIEZA
1867,1367,Dado M16H para Cajas de Cambios VW/AUDI,1.0,PIEZA
1868,1368,"Dado 12 Puntas VW, Audi M14",1.0,PIEZA
1869,1431,Trabador para VW TDI V6,1.0,PIEZA
1870,1527,"Dado Pentagonal p/Frenos1/2""x14mm",8.0,PIEZA
1871,1539,Dado Especial para Bujias,0.0,PIEZA
1872,1546,Pinzas para Abrazaderas de Manguera,0.0,PIEZA
1873,1562,"Dado de Impacto 3/4"" x M18",0.0,PIEZA
1874,1716,Pinza para Sellos de Válvula 255mm,0.0,PIEZA
1875,2503,Extractor de Golpe para Hojalatero,3.0,PIEZA
1876,4099,Trabador para Rover (KV6),1.0,JGO
1877,4173,Trabador para GM 2.0 SOHC,1.0,JGO
1878,4647,Extractor de Polea de Árbol de Levas,0.0,PIEZA
1879,4769,Trabador para VW 1.2L,0.0,JGO
1880,4928,"Trabador para VW, Audi 2.4 y 3.2 FSI",0.0,JGO
1881,4948,Dado Especial para Nissan 8TS,2.0,PIEZA
1884,3GP-200,"Extractor de 3 Quijadas 8""",0.0,PIEZA
1885,A11-BD-10S,Extractores de Baleros y Sellos 10pzas,0.0,JGO
1886,A11-CRP,Pinza Removedora de Clips,0.0,PIEZA
1887,A11-FH,Arco Garlopa para Lima,0.0,PIEZA
1888,A11-PI-12S,Juego de Extractores de Poleas 12pzas,0.0,JGO
1889,A11-RR-20S,Set p/Remover Sistemas de Audio 20pzas,1.0,JGO
1890,A11-SS-7S,Jgo p/Desmontar Sensor de Oxigeno 7pzas,2.0,JGO
1891,A11-TAG,Calibrador de Torque Angular c/Manómetro,0.0,PIEZA
1892,A11-VRI-11S,Jgo Removedores de Sellos de Válvulas,1.0,JGO
1893,A12-FL-30,Lámpara LED Portátil 30+6 Recargable,0.0,PIEZA
1894,A12-FL-60,Lámpara LED Portátil 60+6 Recargable,0.0,PIEZA
1895,A12-IM-15S,Desarmador de Impacto c/15 Puntas,0.0,PIEZA
1896,A12-RT-23S,Set Removedor de Terminales Eléctricas,0.0,JGO
1897,A14-TR-5S,Jgo p/ Tablero y Molduras 5pzas,2.0,JGO
1898,ACT7PCS-SET,Jgo de Desarmadores de Acetato 7pzas,0.0,JGO
1899,AFD-7S,Jgo Desconectores de Línea A/C y Combust,0.0,JGO
1900,AFL-3S,Jgo Desconectores de Líneas Aire/Gaso.,0.0,JGO
1901,AGP,Extractor de Poleas de Dos Brazos,0.0,PIEZA
1902,AMW-1-3200,"Pistola de Impacto 1""",0.0,PIEZA
1903,AMW-1/2-678,"Pistola de Impacto 1/2""",0.0,PIEZA
1904,AVSR-10,"Tijeras de Aviación Corte Derecho 10""",1.0,PIEZA
1905,BJP-L,Extractor Universal de Rotulas Largo,33.0,PIEZA
1906,BJP-S,Extractor Universal de Rotulas Corto,19.0,PIEZA
1907,COM-S24,Juego de Llaves Combinadas MM 24pzas,0.0,JGO
1908,CPW-15,"Llave tipo Cadena para filtro 15""",0.0,PIEZA
1909,DBS-12S,Juego de Calipers de Frenos de Disco 12p,3.0,JGO
1910,DM-D,Multimetro Automotriz,0.0,JGO
1911,DP-6,"Pinza Corte Diagonal, Mango Bicolor 6""",0.0,PIEZA
1912,FGS-14,Calibrador de Lainas para Bujía 14pzas,0.0,JGO
1913,FGS-9,Calibrador de Lainas para Bujía 9pzas,0.0,JGO
1914,FH1/2-15,"Maneral de 1/2"" x 15""",0.0,PIEZA
1915,GB1/2-M16,"Dado Especial p/Caja de Cambios VW, Audi",4.0,PIEZA
1916,GR-S12,Llaves Combinadas con Matraca 12pzas,0.0,JGO
1917,GTH1/4-10(-),Desarmador de Golpe Barra Cuadrada,7.0,PIEZA
1918,GTH1/4-12(-),"Desarmador de Golpe Barra Cuadrada 1/4""",4.0,PIEZA
1919,HBJ-10,Gato Hidráulico de Botella 10Ton,0.0,PIEZA
1920,HBJ-2,Gato Hidráulico de Botella 2Ton,1.0,PIEZA
1921,HEW-3,Martillo Maquinista con Mango de Madera,2.0,PIEZA
1922,HFJ-20,Gato Hidráulico de Patín 2.5Ton ExtraBaj,0.0,PIEZA
1923,HFJ-25,Gato de Patín 2.5Ton Bajo Perfil,0.0,PIEZA
1924,HFJ-30D,Gato de Patín Bajo Perfil 3Ton,50.0,PIEZA
1925,HSW-6S,Jgo de Herramientas para Hojalatería 6pz,0.0,JGO
1926,IS-8S,Juego de Desarmadores Aislados 8pzas,1.0,JGO
1927,JPT-D10-450,Taladro 450W,1.0,PIEZA
1928,JPT-D13-600,Taladro 600W,1.0,PIEZA
1929,JPT-GM115-S11,Esmeriladora Angular 810W,0.0,PIEZA
1930,MPU-17,Imán Flexible Levanta Objetos,0.0,PIEZA
1931,NSK-22,Dado para Base de Amortiguador VW,5.0,PIEZA
1932,OFW-300,Llave para Filtro de Aceite tipo Pinza,0.0,PIEZA
1933,OFW-8S,Juego de Llaves para Filtro 8pzas,0.0,JGO
1934,PE-M,Desarmadores de Precisión 6pzas,19.0,JGO
1935,PPS7PCS/SET,Juego de Desarmadores PPS 7pzas,0.0,JGO
1936,PRP-100,Pinza para anillos de pistones,2.0,PIEZA
1937,RC-3A,Carro Portaherramienta 3 Gavetas,0.0,PIEZA
1938,RC-3C,Gabinete Multifuncional 4 Gavetas,2.0,PIEZA
1939,RC-9,Gabinete Móvil con 9 Gavetas,0.0,PIEZA
1940,SB3/8,"Barra Corrediza 3/8""",4.0,PIEZA
1941,SK1/4-41SP,"Juego de Dados 1/4"" MM 41pzas",3.0,JGO
1942,SK1/4-51SP,"Set de Dados 1/4"" MM 51pzas",1.0,JGO
1943,SPP2-150,Punzón de Barreno 2x150mm,0.0,PIEZA
1944,SPP3-150,Punzón de Barreno 3x150mm,0.0,PIEZA
1945,SPP4-150,Punzón de Barreno 4x150mm,0.0,PIEZA
1946,SPP5-150,Punzón de Barreno 5x150mm,0.0,PIEZA
1947,SR-7B,"Pinza para Anillos Externos Recta 7""",0.0,PIEZA
1948,SR-7C,"Pinza para Anillos Internos Curva 7""",0.0,PIEZA
1949,SR-7D,"Pinza para Anillos Externos Curva 7""",0.0,PIEZA
1950,SRG-5A,"Pinza p/Anillos de Retención Internos 5""",0.0,PIEZA
1951,SRG-5B,"Pinza p/Anillos de Retención Externos 5""",0.0,PIEZA
1952,SRG-5C,"Pinza Curva p/Anillos Internos 5""",6.0,PIEZA
1953,SRG-5D,"Pinza Curva p/Anillos Externos 5""",0.0,PIEZA
1954,SRG-7B,"Pinza p/Anillos de Retención Externos 7""",0.0,PIEZA
1955,SRG-7C,"Pinza Curva p/Anillos Internos 7""",0.0,PIEZA
1956,SRG-7D,"Pinza Curva p/Anillos Externos 7""",4.0,PIEZA
1957,TB-18,"Caja de Herramientas c/5 Gavetas 18""",5.0,PIEZA
1958,TB-21,"Caja de Herramientas c/5 Gavetas 21""",0.0,PIEZA
1959,TB-42S,Juego d/Herramienta Caja Metálica 42pzas,0.0,JGO
1960,TB-58S,Juego d/Herramienta Caja Metálica 58pzas,0.0,JGO
1961,TB-64S,Juego d/Herramienta Caja Metálica 64pzas,0.0,JGO
1962,TPS-8C,Llave Hexagonal tipo T 8mm,5.0,PIEZA
1963,TPS-C8,Juego de Llaves Hexagonales tipo T 8pzas,0.0,JGO
1964,TQW1/2-60-340,"Torquimetro de Trueno 1/2"" (60 a 340)",0.0,PIEZA
1965,TQWN1/2-0-300,"Torquimetro con Dial 1/2"" 0-300Nm",0.0,PIEZA
1966,VSC-7S,Jgo p/Montar y Desmontar Válvulas y Res.,1.0,JGO
1967,VSR-10,"Pinza para Sellos de Válvulas 10""",0.0,JGO
1968,VSR-11,"Pinza para Sellos de Válvulas 11""",0.0,PIEZA
1969,VTD-130,Probador Digital de Voltaje,9.0,PIEZA
1970,VTD-140,Probador Digital de Voltaje,0.0,PIEZA
1973,EELR529AL,Rampa de Alineación de 4 Postes 5.5Ton,0.0,PIEZA
1974,EEWA541AL,Alineadora ELS V3D,0.0,PIEZA
1975,V2100,Alineadora de Ruedas 3D,0.0,PIEZA
1978,3282,Tensor de Banda para Chrysler,0.0,PIEZA
1981,KN S0064,Pinza p/Anillos de Retención Uso Pesado,0.0,PIEZA
1984,KT-19301922,Llave Abocinada 19 x 22mm,0.0,PIEZA
1985,KT-2221-02,"Extensión 1/4"" x 2""",0.0,PIEZA
1986,KT-2221-04,"Extensión 1/4"" x 4""",0.0,PIEZA
1987,KT-233510M,"Dado 1/4"" x 10mm",0.0,PIEZA
1988,KT-2571-45,"Barra Corrediza 1/4"" x 4-1/2""",0.0,PIEZA
1989,KT-2792,"Nudo Universal 1/4"" x 1-1/2""",0.0,PIEZA
1990,KT-306505M,"Dado de Impacto Punta Hexagonal 3/8""xH5",3.0,PIEZA
1991,KT-3221-03,"Extensión 3/8"" x 3""",0.0,PIEZA
1992,KT-3223-06,"Extensión Oscilante 3/8""x6""",0.0,PIEZA
1993,KT-32H522S,"Dado Abierto Hexagonal 3/8""x11/16""",1.0,PIEZA
1994,KT-32J516S,"Dado Abierto Hexagonal 3/8""x1/2""",1.0,PIEZA
1995,KT-333510M,"Dado 3/8"" 10mm",0.0,PIEZA
1996,KT-333516M,"Dado 3/8"" 16mm",0.0,PIEZA
1997,KT-34423-1C,"Torquímetro Ajustable 1/2"" 150ft/lb",0.0,PIEZA
1998,KT-34423-2B,"Torquímetro Ajustable 1/2"" 50-250ft/lb",1.0,PIEZA
1999,KT-3446A-1EG,"Torquímetro Ajustable 1/2"" Trabajo Pesad",3.0,PIEZA
2000,KT-34662-2CG,"Torquímetro Ajustable 3/4"" 600ft/lb",0.0,PIEZA
2001,KT-34862-2CG,"Torquímetro 1"" Ajustable 200-1000lb/ft",0.0,PIEZA
2002,KT-35114MR,Juego de Desarmadores 14pzas,0.0,JGO
2003,KT-3571-08,"Barra Corrediza 3/8"" x 8""",0.0,PIEZA
2004,KT-368018S,"Dado para Bujia Largo 3/8""x9/16""",4.0,PIEZA
2005,KT-36A014,"Dado para Bujía con Resorte 3/8""x14mm",1.0,PIEZA
2006,KT-373114M,Llave Combinada con Matraca 14mm,0.0,PIEZA
2007,KT-3761-08F,"Matraca Reversible 3/8"" Mango Moleteado",0.0,PIEZA
2008,KT-3769-08F,"Matraca Reversible 3/8"" Mango Moleteado",0.0,PIEZA
2009,KT-3769-08P,"Matraca Reversible 3/8"" Mango Pulido",0.0,PIEZA
2010,KT-3794,"Nudo Universal 3/8""",1.0,PIEZA
2011,KT-402327,"Dado con Punta Torx 1/2"" x T27",0.0,PIEZA
2012,KT-402330,"Dado con Punta Torx 1/2"" x T30",0.0,PIEZA
2013,KT-403327,"Dado con Punta Larga Torx 1/2"" x T27",0.0,PIEZA
2014,KT-403330,"Dado con Punta Larga Torx 1/2"" x T30",0.0,PIEZA
2015,KT-406614,"Dado Largo 14mm Bristol 1/2""",0.0,PIEZA
2016,KT-406616,"Dado Punta Bristol 1/2""x16mm",1.0,PIEZA
2017,KT-42104GP,Juego de Pinzas Estilo Europeo 4pzas,7.0,JGO
2018,KT-42114GP,Pinzas para Anillos de Retención 4pzas,1.0,JGO
2019,KT-4251-05R,"Extensión 1/2"" x 5""",0.0,PIEZA
2020,KT-4251-10R,"Extensión 1/2"" x 10""",0.0,PIEZA
2021,KT-42F012M,"Dado Largo 12ptas 1/2""x12mm",1.0,PIEZA
2022,KT-433008MR,"Dado 12ptas 1/2"" x 8mm",0.0,PIEZA
2023,KT-433016MR,"Dado 12ptas 1/2"" x 16mm",0.0,PIEZA
2024,KT-433018MR,"Dado 12ptas 1/2"" x 18mm",0.0,PIEZA
2025,KT-433518MR,"Dado 1/2"" 18mm",0.0,PIEZA
2026,KT-433530MR,"Dado 1/2"" x 30mm",0.0,PIEZA
2027,KT-433532MR,"Dado 1/2"" x 32mm",0.0,PIEZA
2028,KT-4408SP,"Dados de Impacto 1/2"" STD 8pzas",0.0,JGO
2029,KT-4410MP,"Dados de Impacto Largos 1/2"" MM 8pzas",2.0,JGO
2030,KT-4410SP,"Dados de Impacto Largos 1/2"" STD 8pzas",3.0,JGO
2031,KT-4412MP,"Dados de Impacto 1/2"" MM 11pzas",3.0,JGO
2032,KT-4415MP,"Dados de Impacto Largos 1/2"" MM 15pzas",3.0,JGO
2033,KT-4415MP03,"Dados de Impacto Largos MM 1/2"" 15pzas",0.0,JGO
2034,KT-4416SP,"Dados de Impacto Largos 1/2"" STD 14pzas",2.0,JGO
2035,KT-443518M,"Dado Impacto Largo 1/2""x18mm",1.0,PIEZA
2036,KT-4452-18FR,"Maneral Articulado 1/2"" x 18""",3.0,PIEZA
2037,KT-4452-24FR,"Maneral Articulado 1/2"" x 24""",3.0,PIEZA
2038,KT-4453-18F,"Maneral Articulado 1/2""x450mm",0.0,PIEZA
2039,KT-4462-18F,"Maneral Articulado 1/2""x463mm",0.0,PIEZA
2040,KT-4462-24F,"Maneral Articulado 1/2""x613mm",0.0,PIEZA
2041,KT-44F520S,"Dado de Impacto Largo 1/2"" x 5/8""",4.0,PIEZA
2042,KT-4572-10,"Barra Corrediza 1/2"" x 10""",0.0,PIEZA
2043,KT-4768-10F,"Matraca 1/2"" Reversible 10"" 32 dientes",0.0,PIEZA
2044,KT-4779-10GR,"Matraca Reversible 1/2"" Mango Bimaterial",0.0,PIEZA
2045,KT-4781-12P,"Matraca Articulada 1/2"" 32 Dientes",0.0,PIEZA
2046,KT-4791R,"Nudo Universal 1/2""",0.0,PIEZA
2047,KT-4794,"Nudo Universal 1/2""",1.0,PIEZA
2048,KT-4797P,"Nudo Universal 1/2""",0.0,PIEZA
2049,KT-48280180,Extractor de Tapizado y Clips,0.0,PIEZA
2050,KT-6111-06,"Pinzas Combinadas Estilo Europeo 6""",0.0,PIEZA
2051,KT-6211-06,"Pinzas Corte Diagonal Estilo Europeo 6""",0.0,PIEZA
2052,KT-6214-05,"Pinzas de Corte Diagonal Mini 5""",0.0,PIEZA
2053,KT-6232-08,"Pinzas de Corte Diagonal 8""",0.0,PIEZA
2054,KT-6311-06,"Pinza de Punta Larga Estilo Europeo 6""",0.0,PIEZA
2055,KT-6313-06,"Pinza de Punta Estilo Japonés 6""",0.0,PIEZA
2056,KT-643530S,"Dado de Impacto Largo 3/4"" x 15/16""",0.0,PIEZA
2057,KT-6463-08C,"Pinza para Mecánico 8""",0.0,PIEZA
2058,KT-6516-10,"Pinza para Tubo Estilo Alemán 10""",0.0,PIEZA
2059,KT-6798,"Nudo Universal de Impacto 3/4""",0.0,PIEZA
2060,KT-6864P,"Adaptador 3/4""Hx1/2""M",5.0,PIEZA
2061,KT-6868P,"Adaptador 3/4""Hx1""M",2.0,PIEZA
2062,KT-7120PR,"Dados con Punta 3/8""y 1/2"" 20pzas",5.0,JGO
2063,KT-7821-30,Martillo Estilo Alemán 395g,0.0,PIEZA
2064,KT-8410SP,"Dados de Impacto 1"" STD 8pzas",0.0,JGO
2065,KT-843533M,"Dado de Impacto Largo 1"" x 33mm",0.0,PIEZA
2066,KT-843542S,"Dado de Impacto Largo 1"" x 1-5/16""",1.0,PIEZA
2067,KT-853588S,"Dado de Impacto 1""x-2-3/4""",0.0,PIEZA
2068,KT-8866P,"Adaptador de Impacto 1""H x 3/4""M",2.0,PIEZA
2069,KT-9AA21,Pinza Curva para Abrazaderas de Manguera,5.0,PIEZA
2070,KT-9AA31,Pinza Flexible p/Abrazaderas de Manguera,0.0,PIEZA
2071,KT-9AC175-66,Compresor de Anillos de Pistón 175mm,2.0,PIEZA
2072,KT-9AE2004,"Llaves para Filtro de Aceite 3/8"" 4pzas",1.0,JGO
2073,KT-9AE31-111,Llave para Filtro de Aceite 95-111mm,2.0,PIEZA
2074,KT-9AE31-121,Llave para Filtro de Aceite 110-121mm,1.0,PIEZA
2075,KT-9AE31-134,Llave para Filtro de Aceite 134mm,5.0,PIEZA
2076,KT-9AW4901,"Dado Ribe 1/2""x12mm para Nissan",0.0,PIEZA
2077,KT-9AW4911,"Dado Ribe 1/2""x10mm para Toyota",3.0,PIEZA
2078,KT-9BC21,Separador de Pistón de Freno de Disco,1.0,PIEZA
2079,KT-9BC25,Herramientas para Disco de Caliper 18pza,3.0,JGO
2080,KT-9BK41-53,Palanca Elevadora de Neumáticos 530mm,1.0,PIEZA
2081,KT-9DB201,Pinza para Cables de Bujías,1.0,PIEZA
2082,KT-9DH11,Estetoscopio para Mecánico,4.0,PIEZA
2083,NT-9TZ11-04,"Tornillo de Banco 4""",0.0,PIEZA
2084,T-TYPE,Extensiónes tipo T Articuladas 6pzas,0.0,JGO
2087,EA-52,Líquido Protector de Vinil 960ml,0.0,PIEZA
2090,20116-218HE,"Segueta Bimetálica 12"" 18Tpi",70.0,PIEZA
